CT.POS,CAMERA.ID,ORIENT,GAIT,DIST,FROM.HOLT,LOIT,TRIGGER,AIR
BW,A,P,W,1,0,0,1,12.48
BW,BS,P,W,1,0,0,1,12.48
BW,BV,P,W,1,0,0,1,12.48
C,A,L,W,3,0,0,1,12.48
C,BV,L,W,3,0,0,1,12.48
C,BS,L,W,3,0,0,1,12.48
BL,A,L,W,2,0,0,1,12.48
BL,BV,L,W,2,0,0,1,12.48
BL,BS,L,W,2,0,0,1,12.48
A,A,L,W,7,0,1,0,12.48
A,BV,L,W,7,0,1,0,12.48
A,BS,L,W,7,0,1,1,12.48
BL,A,L,W,1,0,1,1,12.48
BL,BS,L,W,1,0,1,1,12.48
BL,BV,L,W,1,0,1,1,12.48
C,A,L,W,3,0,0,0,12.48
C,BS,L,W,3,0,0,1,12.48
C,BV,L,W,3,0,0,1,12.48
BW,A,P,W,1,0,1,1,12.48
BW,BS,P,W,1,0,1,1,12.48
BW,BV,P,W,1,0,1,1,12.48
C,A,L,W,7,0,0,0,12.64
C,BS,L,W,7,0,0,0,12.64
C,BV,L,W,7,0,0,0,12.64
BL,A,L,W,10,0,1,0,12.64
BL,BS,L,W,10,0,1,0,12.64
BL,BV,L,W,10,0,1,0,12.64
BL,A,L,W,10,0,0,0,12.64
BL,BS,L,W,10,0,0,0,12.64
BL,BV,L,W,10,0,0,0,12.64
A,A,A,W,3,0,0,0,12.64
A,BS,A,W,3,0,0,0,12.64
A,BV,A,W,3,0,0,0,12.64
C,A,L,W,5,0,0,0,12.64
C,BS,L,W,5,0,0,0,12.64
C,BV,L,W,5,0,0,0,12.64
BW,A,L,W,2.5,0,0,0,12.64
BW,BS,L,W,2.5,0,1,1,12.64
BW,BV,L,W,2.5,0,1,1,12.64
A,A,L,W,1,0,0,1,12.64
A,BS,L,W,1,0,0,0,12.64
A,BV,L,W,1,0,0,1,12.64
C,A,L,W,7,0,0,0,12.64
C,BS,L,W,7,0,0,0,12.64
C,BV,L,W,7,0,0,0,12.64
A,A,L,W,1,0,0,1,12.64
A,BS,L,W,1,0,1,0,12.64
A,BV,L,W,1,0,1,1,12.64
A,A,L,W,2.5,0,1,1,12.64
A,BS,L,W,2.5,0,1,1,12.64
A,BV,L,W,2.5,0,1,1,12.64
C,A,L,W,4.5,0,1,0,12.64
C,BS,L,W,4.5,0,1,0,12.64
